,target
0,[0.14717]
1,[0.24617]
2,[0.180475]
3,[0.04505]
4,[0.339575]
5,[0.23576]
6,[0.069595]
7,[0.14043]
8,[0.08695]
9,[0.13163]
10,[0.094375]
11,[0.133555]
12,[0.177785]
13,[0.20636]
14,[0.187595]
15,[0.027265]
16,[0.16142]
17,[0.28046]
18,[0.08474]
19,[0.179715]
20,[0.080335]
21,[0.186725]
22,[0.13532]
23,[0.19101]
24,[0.03468]
25,[0.14401]
26,[0.35533]
27,[0.183335]
28,[0.22071]
29,[0.1156]
30,[0.24366]
31,[0.040625]
32,[0.13218]
33,[0.24371]
34,[0.18398]
35,[0.17727]
36,[0.065975]
37,[0.24209]
38,[0.06987]
39,[0.09826]
40,[0.183255]
41,[0.208965]
42,[0.20993]
43,[0.03401]
44,[0.07933]
45,[0.085085]
46,[0.31698]
47,[0.120105]
48,[0.116965]
49,[0.14203]
50,[0.25924]
51,[0.27184]
52,[0.10072]
53,[0.21257]
54,[0.15266]
55,[0.22991]
56,[0.1302]
57,[0.25596]
58,[0.186]
59,[0.04719]
60,[0.21231]
61,[0.077]
62,[0.140865]
63,[0.21736]
64,[0.11571]
65,[0.126785]
66,[0.0128]
67,[0.14816]
68,[0.05377]
69,[0.105555]
70,[0.20982]
71,[0.03836]
72,[0.123445]
73,[0.142055]
74,[0.10658]
75,[0.1642]
76,[0.20564]
77,[0.3218]
78,[0.17908]
79,[0.23835]
80,[0.10532]
81,[0.318645]
82,[0.17234]
83,[0.0834]
84,[0.14453]
85,[0.07767]
86,[0.09297]
87,[0.0215]
88,[0.14586]
89,[0.104045]
90,[0.10633]
91,[0.1084]
92,[0.14513]
93,[0.22189]
94,[0.140785]
95,[0.228295]
96,[0.05375]
97,[0.25121]
98,[0.02148]
99,[0.06649]
100,[0.19175]
101,[0.12134]
102,[0.20122]
103,[0.15881]
104,[0.13753]
105,[0.25627]
106,[0.29762]
107,[0.11863]
108,[0.1]
109,[0.053945]
110,[0.213215]
111,[0.15878]
112,[0.297215]
113,[0.18872]
114,[0.11614]
115,[0.147775]
116,[0.037185]
117,[0.164585]
118,[0.05191]
119,[0.113835]
120,[0.188425]
121,[0.14906]
122,[0.281225]
123,[0.073875]
124,[0.190875]
125,[0.17524]
126,[0.217875]
127,[0.17263]
128,[0.325155]
129,[0.14934]
130,[0.14341]
131,[0.13989]
132,[0.19601]
133,[0.11408]
134,[0.244355]
135,[0.31743]
136,[0.09254]
137,[0.224625]
138,[0.12378]
139,[0.66858]
140,[0.271045]
141,[0.2321]
142,[0.27644]
143,[0.20105]
144,[0.087685]
145,[0.32934]
146,[0.161]
147,[0.088635]
148,[0.19535]
149,[0.21314]
150,[0.159105]
151,[0.21028]
152,[0.09391]
153,[0.282165]
154,[0.29274]
155,[0.089785]
156,[0.24573]
157,[0.10761]
158,[0.1913]
159,[0.28001]
160,[0.167775]
161,[0.09433]
162,[0.20672]
163,[0.14739]
164,[0.33436]
165,[0.10128]
166,[0.231955]
167,[0.20348]
168,[0.037755]
169,[0.13176]
170,[0.250285]
171,[0.26065]
172,[0.033795]
173,[0.229945]
174,[0.14114]
175,[0.08103]
176,[0.34652]
177,[0.110375]
178,[0.056865]
179,[0.16072]
180,[0.124985]
181,[0.14623]
182,[0.22847]
183,[0.25283]
184,[0.05433]
185,[0.215005]
186,[0.081085]
187,[0.142535]
188,[0.229605]
189,[0.07786]
190,[0.09601]
191,[0.131855]
192,[0.22591]
193,[0.33312]
194,[0.11976]
195,[0.077255]
196,[0.163515]
197,[0.26438]
198,[0.195605]
199,[0.237735]
200,[0.134535]
201,[0.21898]
202,[0.2013]
203,[0.111105]
204,[0.11758]
205,[0.20301]
206,[0.20532]
207,[0.24966]
208,[0.338725]
209,[0.1402]
210,[0.054515]
211,[0.16511]
212,[0.10837]
213,[0.285645]
214,[0.26352]
215,[0.14666]
216,[0.09537]
217,[0.28293]
218,[0.13056]
219,[0.122235]
220,[0.189065]
221,[0.19389]
222,[0.13566]
223,[0.139985]
224,[0.14777]
225,[0.3154]
226,[0.222775]
227,[0.09337]
228,[0.057965]
229,[0.10627]
230,[0.281195]
231,[0.07849]
232,[0.14598]
233,[0.04257]
234,[0.27234]
235,[0.291635]
236,[0.24319]
237,[0.26859]
238,[0.0495]
239,[0.29687]
240,[0.07547]
241,[0.05871]
242,[0.035685]
243,[0.23936]
244,[0.104845]
245,[0.12819]
246,[0.101975]
247,[0.108065]
248,[0.16593]
249,[0.17193]
250,[0.0356]
251,[0.31743]
252,[0.27463]
253,[0.170955]
254,[0.09062]
255,[0.12273]
256,[0.25755]
257,[0.16528]
258,[0.31618]
259,[0.08663]
260,[0.075485]
261,[0.13568]
262,[0.106415]
263,[0.03158]
264,[0.23693]
265,[0.13304]
266,[0.20702]
267,[0.15742]
268,[0.09103]
269,[0.20773]
270,[0.22391]
271,[0.097285]
272,[0.2142]
273,[0.1952]
274,[0.04493]
275,[0.21031]
276,[0.17463]
277,[0.229025]
278,[0.134475]
279,[0.091855]
280,[0.10999]
281,[0.12101]
282,[0.25254]
283,[0.14355]
284,[0.06065]
285,[0.151605]
286,[0.116185]
287,[0.176735]
288,[0.03154]
289,[0.18799]
290,[0.13171]
291,[0.224775]
292,[0.221965]
293,[0.19875]
294,[0.18676]
295,[0.173245]
296,[0.01454]
297,[0.09401]
298,[0.19847]
299,[0.17401]
300,[0.14351]
301,[0.16327]
302,[0.22591]
303,[0.112555]
304,[0.354995]
305,[0.031975]
306,[0.151685]
307,[0.03724]
308,[0.180125]
309,[0.08633]
310,[0.044095]
311,[0.090795]
312,[0.17215]
313,[0.200155]
314,[0.336535]
315,[0.25313]
316,[0.031865]
317,[0.08951]
318,[0.069795]
319,[0.12447]
320,[0.12694]
321,[0.24362]
322,[0.199005]
323,[0.05744]
324,[0.253685]
325,[0.277995]
326,[0.235505]
327,[0.264685]
328,[0.13699]
329,[0.27049]
330,[0.03785]
331,[0.256955]
332,[0.1164]
333,[0.44604]
334,[0.187775]
335,[0.12702]
336,[0.18163]
337,[0.1102]
338,[0.04073]
339,[0.10257]
340,[0.15576]
341,[0.13218]
342,[0.25379]
343,[0.14968]
344,[0.02876]
345,[0.248935]
346,[0.146815]
347,[0.187875]
348,[0.166005]
349,[0.12404]
350,[0.132755]
351,[0.26033]
